category_type,category_value,dispatches,share_of_all_rows_pct,share_of_recorded_rows_pct
relif_occurplc_type_raw,기타(아주대 장례식장),1,0.0013,0.0017
relif_occurplc_type_raw,기타(아파트 1층 입구),1,0.0013,0.0017
relif_occurplc_type_raw,기타(아파트 단지 내),1,0.0013,0.0017
relif_occurplc_type_raw,기타(아파트 사무실),1,0.0013,0.0017
relif_occurplc_type_raw,기타(아파트 앞 놀이터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(아파트 옆 하천),1,0.0013,0.0017
relif_occurplc_type_raw,기타(안전센터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(야외주차장),1,0.0013,0.0017
relif_occurplc_type_raw,기타(어린이집),1,0.0013,0.0017
relif_occurplc_type_raw,기타(여기산공원 내),1,0.0013,0.0017
relif_occurplc_type_raw,기타(연구소),1,0.0013,0.0017
relif_occurplc_type_raw,기타(연화장 지하화장실),1,0.0013,0.0017
relif_occurplc_type_raw,기타(열발전소),1,0.0013,0.0017
relif_occurplc_type_raw,기타(영통 지구대),1,0.0013,0.0017
relif_occurplc_type_raw,기타(영통경찰서 내 유치장),1,0.0013,0.0017
relif_occurplc_type_raw,기타(영통경찰서),1,0.0013,0.0017
relif_occurplc_type_raw,기타(영통지구대 ),1,0.0013,0.0017
relif_occurplc_type_raw,기타(오목천역),1,0.0013,0.0017
relif_occurplc_type_raw,기타(오피스텔 옥상),1,0.0013,0.0017
relif_occurplc_type_raw,기타(와이파이값),1,0.0013,0.0017
relif_occurplc_type_raw,기타(외국인 보호소),1,0.0013,0.0017
relif_occurplc_type_raw,기타(외부 주차장),1,0.0013,0.0017
relif_occurplc_type_raw,기타(요양시설),1,0.0013,0.0017
relif_occurplc_type_raw,기타(우체국),1,0.0013,0.0017
relif_occurplc_type_raw,기타(우체국안),1,0.0013,0.0017
relif_occurplc_type_raw,기타(운행),1,0.0013,0.0017
relif_occurplc_type_raw,기타(유천파출소),1,0.0013,0.0017
relif_occurplc_type_raw,기타(유천파츨소),1,0.0013,0.0017
relif_occurplc_type_raw,기타(유치장),1,0.0013,0.0017
relif_occurplc_type_raw,기타(율전약수터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(은행ATM),1,0.0013,0.0017
relif_occurplc_type_raw,기타(은혜와 진리교회),1,0.0013,0.0017
relif_occurplc_type_raw,기타(음식점앞),1,0.0013,0.0017
relif_occurplc_type_raw,기타(이마트 주차장 지하 1층 출구),1,0.0013,0.0017
relif_occurplc_type_raw,기타(이의119안전센터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(인계파밀리에 103동 1층),1,0.0013,0.0017
relif_occurplc_type_raw,기타(인재개발원),1,0.0013,0.0017
relif_occurplc_type_raw,기타(일월저수지),1,0.0013,0.0017
relif_occurplc_type_raw,기타(자동차 안),1,0.0013,0.0017
relif_occurplc_type_raw,기타(자동차안),1,0.0013,0.0017
relif_occurplc_type_raw,기타(장안경찰서 형사과),1,0.0013,0.0017
relif_occurplc_type_raw,기타(장안공원),1,0.0013,0.0017
relif_occurplc_type_raw,기타(장안구보건소),1,0.0013,0.0017
relif_occurplc_type_raw,기타(장애인종합복지관),1,0.0013,0.0017
relif_occurplc_type_raw,기타(재활센터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(정나눔터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(정보공인중개사 앞),1,0.0013,0.0017
relif_occurplc_type_raw,기타(정신재활센터),1,0.0013,0.0017
relif_occurplc_type_raw,기타(정자 경찰서 ),1,0.0013,0.0017
relif_occurplc_type_raw,기타(제10전투비행단),1,0.0013,0.0017
